resume_skills,jd_skills,projects,internships,certifications,cgpa,ats_score
power bi data analysis tableau aws statistics data visualization python,python sql power bi excel tableau statistics data visualization,4,2,3,7.4,75.77
data analysis numpy statistics machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,2,0,7.9,82.24
system design power bi linux aws terraform gcp,aws azure gcp cloud security terraform linux,1,0,4,8.2,62.1
react css mongodb express nodejs javascript,react nodejs mongodb javascript html css express,5,1,4,7.8,87.19
system design sql terraform oops dsa java dbms,java dsa oops dbms system design sql,3,1,2,8.3,91.15
power bi sql css tableau data visualization python,python sql power bi excel tableau statistics data visualization,5,3,3,6.8,80.47
azure data analysis tableau numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,3,0,9.4,98.7
mongodb express nodejs javascript,react nodejs mongodb javascript html css express,5,3,2,9.6,69.66
rag statistics vector database python excel,python llm rag langchain transformers vector database prompt engineering,5,1,0,7.3,48.79
machine learning cloud security linux,aws azure gcp cloud security terraform linux,5,2,0,8.1,45.05
azure cloud security aws linux terraform,aws azure gcp cloud security terraform linux,5,3,0,8.2,85.6
azure cloud security aws linux gcp nlp,aws azure gcp cloud security terraform linux,1,3,3,9.5,82.75
css mongodb express javascript html,react nodejs mongodb javascript html css express,3,2,0,6.9,69.02
github actions kubernetes docker linux terraform java jenkins,docker kubernetes linux jenkins terraform github actions,4,3,0,8.7,96.35
express nodejs react html,react nodejs mongodb javascript html css express,3,2,0,7.7,58.71
rag react llm transformers vector database tensorflow,python llm rag langchain transformers vector database prompt engineering,3,1,4,8.7,62.21
docker linux terraform kubernetes,docker kubernetes linux jenkins terraform github actions,2,2,0,8.3,64.15
react css nodejs tableau vector database,react nodejs mongodb javascript html css express,3,3,2,9.2,54.74
machine learning jenkins tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,3,1,7.2,48.24
numpy statistics mlops machine learning python,python machine learning statistics pandas numpy tensorflow data analysis,1,0,5,8.8,56.76
data visualization python power bi langchain,python sql power bi excel tableau statistics data visualization,1,0,2,7.6,40.94
azure cloud security linux aws gcp terraform python,aws azure gcp cloud security terraform linux,1,1,1,8.6,85.8
aws langchain numpy azure,aws azure gcp cloud security terraform linux,1,3,3,8.9,44.95
react css express nodejs pandas html,react nodejs mongodb javascript html css express,1,0,1,7.8,60.97
rag transformers llm azure,python llm rag langchain transformers vector database prompt engineering,4,1,3,7.4,51.34
rag system design prompt engineering langchain transformers nlp vector database,python llm rag langchain transformers vector database prompt engineering,4,3,1,8.4,76.27
github actions kubernetes docker linux terraform jenkins pandas,docker kubernetes linux jenkins terraform github actions,3,3,4,9.1,100.0
rag numpy statistics transformers machine learning tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,1,3,7.3,70.72
github actions kubernetes docker cloud security terraform oops jenkins,docker kubernetes linux jenkins terraform github actions,5,0,0,7.3,76.15
react system design jenkins kubernetes,docker kubernetes linux jenkins terraform github actions,4,3,2,7.5,48.75
rag prompt engineering langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,0,4,8.5,91.25
power bi azure cloud security linux aws terraform excel,aws azure gcp cloud security terraform linux,5,3,4,7.0,91.0
power bi azure cloud security aws nodejs gcp terraform,aws azure gcp cloud security terraform linux,3,2,4,9.4,85.2
statistics github actions excel aws,python sql power bi excel tableau statistics data visualization,4,3,5,9.2,50.53
react azure linux aws llm,aws azure gcp cloud security terraform linux,1,2,2,9.7,53.35
data visualization power bi tableau statistics,python sql power bi excel tableau statistics data visualization,4,0,0,9.0,55.36
rag prompt engineering langchain transformers deep learning vector database python,python llm rag langchain transformers vector database prompt engineering,4,3,0,9.6,86.09
azure cloud security linux nodejs gcp prompt engineering,aws azure gcp cloud security terraform linux,2,2,3,8.1,68.55
nodejs computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,3,6.5,65.61
azure cloud security aws linux terraform,aws azure gcp cloud security terraform linux,3,2,1,8.3,80.15
python tableau,python sql power bi excel tableau statistics data visualization,1,3,3,7.6,40.73
docker linux terraform prompt engineering,docker kubernetes linux jenkins terraform github actions,3,3,5,8.1,64.05
rag prompt engineering linux langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,1,7.9,87.45
github actions kubernetes docker linux terraform jenkins dbms,docker kubernetes linux jenkins terraform github actions,1,1,4,6.8,89.4
system design terraform dsa java oops machine learning,java dsa oops dbms system design sql,2,1,3,8.0,65.5
python numpy gcp,python machine learning statistics pandas numpy tensorflow data analysis,4,2,0,9.1,39.98
mlops nlp dbms tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,1,8.1,52.69
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,3,2,7.9,92.95
system design sql dsa java dbms,java dsa oops dbms system design sql,3,1,0,7.8,62.9
data analysis prompt engineering numpy statistics machine learning python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,2,3,7.4,84.49
data analysis numpy machine learning computer vision pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,3,0,6.8,80.69
oops dsa system design dbms,java dsa oops dbms system design sql,1,1,5,6.8,65.9
azure cloud security linux aws terraform gcp,aws azure gcp cloud security terraform linux,3,1,4,6.7,93.35
computer vision gcp pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,2,9.5,33.18
mongodb sql tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,3,9.2,41.53
azure cloud security aws gcp javascript,aws azure gcp cloud security terraform linux,4,2,1,9.1,70.05
mlops github actions jenkins kubernetes,docker kubernetes linux jenkins terraform github actions,2,1,0,9.2,49.1
mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,0,4,9.8,95.9
oops react gcp azure,aws azure gcp cloud security terraform linux,3,2,4,6.8,46.4
data analysis machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,3,5,9.2,78.67
nodejs pandas dbms javascript,react nodejs mongodb javascript html css express,1,1,4,8.5,36.68
statistics python data analysis,python machine learning statistics pandas numpy tensorflow data analysis,1,0,2,8.8,41.54
power bi tableau statistics data visualization python excel pandas,python sql power bi excel tableau statistics data visualization,4,1,0,9.0,79.79
github actions system design sql terraform dsa java oops,java dsa oops dbms system design sql,4,0,0,8.2,74.6
github actions react kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,2,5,6.8,93.9
sql tableau llm statistics data visualization python excel tensorflow,python sql power bi excel tableau statistics data visualization,3,1,2,8.1,80.34
statistics python pandas tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,2,3,7.3,37.58
mlops python computer vision pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,3,7.3,61.01
sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,1,3,3,6.6,83.09
react css express nodejs html,react nodejs mongodb javascript html css express,5,3,2,7.1,79.12
rag mongodb langchain llm transformers vector database python tensorflow,python llm rag langchain transformers vector database prompt engineering,3,1,5,6.7,84.14
data analysis numpy statistics machine learning python,python machine learning statistics pandas numpy tensorflow data analysis,1,3,1,8.0,70.07
power bi kubernetes terraform data visualization excel,python sql power bi excel tableau statistics data visualization,2,0,0,7.2,39.74
data analysis numpy vector database statistics pytorch pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,2,2,6.8,84.69
dsa java system design sql,java dsa oops dbms system design sql,4,2,2,9.6,71.8
data analysis statistics machine learning python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,2,1,9.4,69.77
sql data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,2,4,9.3,99.65
computer vision aws nlp pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,5,8.7,47.99
docker jenkins,docker kubernetes linux jenkins terraform github actions,4,0,3,9.8,42.4
rag prompt engineering llm langchain transformers vector database,python llm rag langchain transformers vector database prompt engineering,2,2,2,7.6,81.09
mongodb dsa cloud security html,react nodejs mongodb javascript html css express,5,3,1,7.0,45.43
sql tableau jenkins data visualization python,python sql power bi excel tableau statistics data visualization,1,1,4,8.0,57.86
rag github actions prompt engineering llm langchain transformers vector database python excel,python llm rag langchain transformers vector database prompt engineering,1,0,0,8.5,81.25
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,1,3,7.8,94.4
data analysis numpy statistics machine learning python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,2,2,8.6,87.59
html express nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,0,7.6,33.23
rag prompt engineering langchain llm transformers python,python llm rag langchain transformers vector database prompt engineering,1,0,4,7.9,76.24
terraform dsa oops dbms pytorch,java dsa oops dbms system design sql,2,2,4,8.6,57.8
deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,3,7.4,77.77
data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,1,3,9.7,93.35
python prompt engineering llm langchain,python llm rag langchain transformers vector database prompt engineering,2,3,0,7.7,59.71
docker kubernetes,docker kubernetes linux jenkins terraform github actions,4,0,4,8.2,43.1
html data analysis numpy statistics machine learning nlp pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,4,8.4,96.2
power bi sql cloud security data visualization python excel,python sql power bi excel tableau statistics data visualization,3,3,5,7.2,79.67
data visualization excel sql,python sql power bi excel tableau statistics data visualization,1,2,4,6.9,49.59
power bi azure cloud security linux aws terraform gcp dsa,aws azure gcp cloud security terraform linux,2,1,5,8.0,93.5
express cloud security linux terraform gcp pytorch,aws azure gcp cloud security terraform linux,4,3,1,9.7,73.35
data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,3,4,7.4,100.0
azure cloud security aws linux terraform gcp,aws azure gcp cloud security terraform linux,5,2,3,9.7,100.0
power bi sql tableau statistics jenkins data visualization python excel,python sql power bi excel tableau statistics data visualization,2,1,5,8.4,93.7
data analysis statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,0,2,8.7,75.64
cloud security aws gcp computer vision tensorflow,aws azure gcp cloud security terraform linux,2,3,0,8.6,54.8
data visualization power bi excel,python sql power bi excel tableau statistics data visualization,3,3,2,6.7,53.49
system design cloud security java dbms javascript,java dsa oops dbms system design sql,1,2,5,8.4,57.2
rag llm dsa deep learning vector database,python llm rag langchain transformers vector database prompt engineering,3,1,4,9.3,51.79
rag data analysis css numpy,python machine learning statistics pandas numpy tensorflow data analysis,1,0,0,7.0,26.93
nodejs css,react nodejs mongodb javascript html css express,2,3,1,7.9,39.88
sql oops java jenkins dbms,java dsa oops dbms system design sql,3,3,2,6.9,71.45
prompt engineering llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,3,3,8.6,75.37
rag prompt engineering llm,python llm rag langchain transformers vector database prompt engineering,3,2,2,6.9,50.59
rag langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,5,8.0,72.07
express aws terraform kubernetes,aws azure gcp cloud security terraform linux,1,1,5,9.0,42.0
rag sql dsa java oops,java dsa oops dbms system design sql,1,0,1,9.1,58.05
docker sql power bi tableau,python sql power bi excel tableau statistics data visualization,2,3,5,7.5,45.68
docker python jenkins deep learning,docker kubernetes linux jenkins terraform github actions,4,0,2,6.5,39.25
statistics python tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,3,3,8.3,66.51
kubernetes mlops transformers nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,1,9.7,57.21
system design dbms,java dsa oops dbms system design sql,2,2,2,8.1,42.05
oops java dsa,java dsa oops dbms system design sql,3,3,5,7.5,63.75
data analysis numpy statistics machine learning nlp pandas tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,2,0,8.8,80.69
react oops dsa statistics dbms,java dsa oops dbms system design sql,1,0,2,8.7,46.85
rag express langchain transformers vector database,python llm rag langchain transformers vector database prompt engineering,4,2,5,7.0,67.86
css express nodejs javascript vector database html,react nodejs mongodb javascript html css express,5,1,3,7.1,63.91
data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,0,8.2,79.39
python machine learning tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,3,5,9.3,74.01
css mongodb nodejs java dbms javascript html,react nodejs mongodb javascript html css express,2,0,4,9.1,68.12
terraform deep learning langchain vector database,python llm rag langchain transformers vector database prompt engineering,2,3,3,6.8,42.33
cloud security aws gcp azure,aws azure gcp cloud security terraform linux,3,2,4,9.0,72.5
github actions mlops deep learning computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,2,4,7.5,88.04
python power bi,python sql power bi excel tableau statistics data visualization,5,3,2,8.5,47.68
cloud security azure,aws azure gcp cloud security terraform linux,4,3,5,6.5,52.75
mongodb express react,react nodejs mongodb javascript html css express,1,2,3,6.6,47.94
github actions system design azure linux terraform,aws azure gcp cloud security terraform linux,5,3,4,6.9,65.95
sql tableau statistics dbms excel pandas,python sql power bi excel tableau statistics data visualization,3,2,3,9.6,64.16
oops java rag,java dsa oops dbms system design sql,1,3,2,7.3,42.65
github actions kubernetes linux jenkins html,docker kubernetes linux jenkins terraform github actions,3,0,2,7.5,62.75
react css mongodb nodejs cloud security langchain javascript,react nodejs mongodb javascript html css express,2,1,1,9.5,66.82
react mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,5,1,5,8.3,88.94
aws cloud security linux gcp,aws azure gcp cloud security terraform linux,2,2,5,7.2,71.1
linux mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,0,6.7,91.35
mlops python computer vision deep learning,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,2,6.9,65.31
rag prompt engineering tableau langchain llm transformers python,python llm rag langchain transformers vector database prompt engineering,2,2,4,9.1,84.84
azure jenkins css kubernetes,docker kubernetes linux jenkins terraform github actions,3,1,0,8.3,38.15
mongodb prompt engineering langchain transformers vector database data visualization python,python llm rag langchain transformers vector database prompt engineering,5,2,3,7.4,77.77
rag langchain llm transformers python pytorch,python llm rag langchain transformers vector database prompt engineering,4,2,4,9.2,78.17
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,3,3,3,9.5,99.25
react css kubernetes mongodb html,react nodejs mongodb javascript html css express,1,3,3,8.3,62.51
mlops deep learning computer vision tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,5,8.0,64.36
data visualization python power bi excel,python sql power bi excel tableau statistics data visualization,3,1,0,6.7,55.21
azure cloud security linux aws terraform gcp vector database,aws azure gcp cloud security terraform linux,3,3,2,8.4,97.2
react sql css mongodb llm,react nodejs mongodb javascript html css express,3,2,4,8.0,54.14
power bi sql kubernetes docker statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,0,2,9.3,79.94
react css mongodb express nodejs javascript,react nodejs mongodb javascript html css express,1,2,1,7.0,77.29
dsa deep learning cloud security gcp,aws azure gcp cloud security terraform linux,2,1,5,7.6,43.3
llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,2,3,9.2,74.67
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,2,2,9.1,98.55
system design css express nodejs pandas,react nodejs mongodb javascript html css express,3,2,3,8.1,52.69
azure cloud security linux aws gcp terraform,aws azure gcp cloud security terraform linux,1,1,5,9.7,92.35
oops java dsa dbms pytorch,java dsa oops dbms system design sql,2,0,3,7.0,62.0
transformers llm langchain,python llm rag langchain transformers vector database prompt engineering,2,1,1,8.1,33.98
github actions sql dsa java oops nlp dbms,java dsa oops dbms system design sql,1,3,2,7.9,80.45
dsa prompt engineering sql dbms,java dsa oops dbms system design sql,1,0,3,7.6,47.8
css nodejs tableau prompt engineering javascript html,react nodejs mongodb javascript html css express,4,1,3,6.5,61.61
express system design sql dbms,java dsa oops dbms system design sql,4,3,5,8.2,66.1
power bi sql tableau statistics data visualization python,python sql power bi excel tableau statistics data visualization,5,3,5,8.2,94.89
kubernetes data analysis vector database pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,1,3,9.7,59.21
express react,react nodejs mongodb javascript html css express,2,2,1,8.9,37.38
aws gcp azure,aws azure gcp cloud security terraform linux,3,0,1,9.1,49.55
react css mongodb terraform html,react nodejs mongodb javascript html css express,4,3,2,6.9,66.31
power bi sql tableau data visualization python,python sql power bi excel tableau statistics data visualization,1,2,3,6.7,69.42
power bi sql tableau statistics oops data visualization python excel,python sql power bi excel tableau statistics data visualization,3,0,0,8.9,85.45
github actions kubernetes docker jenkins excel,docker kubernetes linux jenkins terraform github actions,1,3,5,8.4,72.7
github actions kubernetes docker terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,1,7.2,72.6
sql cloud security tableau data visualization excel,python sql power bi excel tableau statistics data visualization,5,0,3,7.5,61.11
prompt engineering vector database,python llm rag langchain transformers vector database prompt engineering,5,1,0,7.2,38.03
github actions kubernetes docker express linux terraform jenkins tensorflow,docker kubernetes linux jenkins terraform github actions,1,0,2,9.1,84.55
css mongodb express nodejs javascript,react nodejs mongodb javascript html css express,1,0,4,7.4,65.27
machine learning nodejs react,react nodejs mongodb javascript html css express,3,1,0,9.7,35.28
data analysis numpy statistics nlp tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,2,0,7.4,77.99
html mongodb javascript,react nodejs mongodb javascript html css express,4,1,0,9.2,47.74
python llm langchain vector database,python llm rag langchain transformers vector database prompt engineering,2,0,5,8.7,47.99
system design sql oops java dbms,java dsa oops dbms system design sql,3,1,1,9.8,77.9
rag llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,1,4,8.0,70.57
docker github actions jenkins terraform,docker kubernetes linux jenkins terraform github actions,3,1,2,8.8,66.4
github actions mongodb express nodejs gcp javascript html,react nodejs mongodb javascript html css express,5,3,2,9.0,80.07
docker terraform jenkins nlp tensorflow,docker kubernetes linux jenkins terraform github actions,1,2,4,7.6,55.3
aws cloud security linux gcp,aws azure gcp cloud security terraform linux,5,0,1,8.7,65.85
rag deep learning pytorch tensorflow python pandas,python tensorflow pytorch deep learning nlp computer vision mlops,1,0,3,9.1,53.91
github actions linux excel terraform,docker kubernetes linux jenkins terraform github actions,4,3,0,6.8,57.9
react numpy dsa machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,2,1,7.5,68.82
rag css mlops deep learning nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,1,7.4,65.77
rag nodejs prompt engineering llm transformers vector database,python llm rag langchain transformers vector database prompt engineering,4,3,0,6.9,74.02
system design css mongodb nodejs javascript html,react nodejs mongodb javascript html css express,4,3,1,7.9,76.02
rag prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,4,1,0,7.0,78.79
sql tableau data visualization python excel,python sql power bi excel tableau statistics data visualization,1,1,3,7.0,66.57
deep learning computer vision,python tensorflow pytorch deep learning nlp computer vision mlops,5,3,3,9.5,49.68
docker linux kubernetes,docker kubernetes linux jenkins terraform github actions,2,3,0,8.7,54.85
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,3,1,5,9.7,96.35
terraform mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,4,9.7,95.85
deep learning react css html,react nodejs mongodb javascript html css express,4,0,0,7.9,33.38
system design sql oops java dsa dbms,java dsa oops dbms system design sql,2,2,3,7.6,93.3
python prompt engineering,python llm rag langchain transformers vector database prompt engineering,5,2,5,8.9,49.38
mongodb prompt engineering llm mlops transformers vector database python,python llm rag langchain transformers vector database prompt engineering,4,3,0,9.4,75.27
react css mongodb express nodejs machine learning javascript,react nodejs mongodb javascript html css express,5,0,3,7.1,82.34
github actions azure linux terraform gcp,aws azure gcp cloud security terraform linux,3,3,0,9.3,69.65
dsa system design,java dsa oops dbms system design sql,5,2,2,7.1,47.55
rag express langchain llm statistics transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,0,1,7.9,79.74
github actions linux jenkins,docker kubernetes linux jenkins terraform github actions,4,2,3,9.8,48.4
github actions aws terraform gcp deep learning,aws azure gcp cloud security terraform linux,3,3,3,8.9,61.45
azure cloud security terraform java tensorflow,aws azure gcp cloud security terraform linux,3,3,0,8.9,56.95
power bi sql mongodb tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,0,5,6.5,93.75
azure cloud security linux aws terraform pandas,aws azure gcp cloud security terraform linux,1,0,4,9.2,75.1
system design sql oops java dsa,java dsa oops dbms system design sql,4,2,3,8.7,85.35
github actions docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,2,0,9.6,81.3
rag github actions kubernetes docker linux terraform computer vision jenkins,docker kubernetes linux jenkins terraform github actions,3,1,2,7.1,90.55
html data analysis numpy statistics mlops machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,1,2,8.1,93.05
java prompt engineering tableau dbms,java dsa oops dbms system design sql,1,1,1,7.9,35.45
power bi sql tableau numpy statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,0,0,7.1,88.55
express css javascript,react nodejs mongodb javascript html css express,2,2,0,9.6,46.94
react system design css mongodb nodejs javascript html,react nodejs mongodb javascript html css express,5,2,5,6.8,91.19
linux aws jenkins,aws azure gcp cloud security terraform linux,4,2,3,7.9,47.45
css kubernetes express pytorch javascript html,react nodejs mongodb javascript html css express,2,3,4,9.5,66.61
react nodejs langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,3,4,8.3,72.01
sql statistics java machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,0,4,9.5,70.32
mongodb css html,react nodejs mongodb javascript html css express,2,3,4,9.4,55.84
docker linux terraform kubernetes,docker kubernetes linux jenkins terraform github actions,3,1,0,7.8,62.9
kubernetes docker deep learning jenkins javascript,docker kubernetes linux jenkins terraform github actions,5,1,1,6.8,55.4
docker terraform kubernetes,docker kubernetes linux jenkins terraform github actions,2,2,0,7.5,51.25
rag python,python llm rag langchain transformers vector database prompt engineering,4,2,5,9.1,47.48
power bi sql tableau statistics data visualization python,python sql power bi excel tableau statistics data visualization,1,0,4,8.3,76.44
rag kubernetes prompt engineering langchain llm transformers vector database,python llm rag langchain transformers vector database prompt engineering,2,1,0,8.4,75.49
system design sql oops java dbms,java dsa oops dbms system design sql,3,0,1,8.2,74.1
react power bi sql css express javascript html,react nodejs mongodb javascript html css express,1,0,1,9.4,61.77
mongodb react css javascript,react nodejs mongodb javascript html css express,5,0,1,6.8,57.76
mlops deep learning nlp tensorflow javascript python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,4,7.6,87.09
excel sql,python sql power bi excel tableau statistics data visualization,4,3,4,7.5,48.18
mlops deep learning computer vision statistics pytorch nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,3,0,7.3,97.65
rag data analysis prompt engineering llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,1,4,7.2,89.6
tableau aws statistics data visualization excel,python sql power bi excel tableau statistics data visualization,4,2,3,8.9,65.81
azure cloud security aws linux gcp terraform,aws azure gcp cloud security terraform linux,2,3,4,7.2,97.6
sql mlops oops computer vision nlp pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,3,7.5,69.82
azure aws linux gcp terraform machine learning,aws azure gcp cloud security terraform linux,1,1,5,6.8,78.4
system design dbms,java dsa oops dbms system design sql,1,2,3,8.7,41.85
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,3,0,5,9.3,93.15
react mongodb express javascript html,react nodejs mongodb javascript html css express,2,0,3,7.4,65.77
power bi sql mongodb tableau aws statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,3,1,5,8.0,95.5
rag prompt engineering langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,1,5,7.0,99.0
react css mongodb express nodejs langchain javascript html,react nodejs mongodb javascript html css express,5,0,3,7.5,93.25
github actions docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,3,3,9.4,88.7
nodejs linux mlops deep learning python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,3,0,8.8,64.26
react css express nodejs javascript html,react nodejs mongodb javascript html css express,3,0,4,8.0,80.29
statistics machine learning data analysis html,python machine learning statistics pandas numpy tensorflow data analysis,4,2,1,6.9,51.09
statistics machine learning pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,0,2,8.6,43.44
azure cloud security aws linux terraform gcp dbms,aws azure gcp cloud security terraform linux,4,1,0,7.7,89.85
github actions computer vision nlp dbms python,python tensorflow pytorch deep learning nlp computer vision mlops,5,0,2,8.1,49.19
kubernetes data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,1,7.0,95.0
github actions kubernetes docker terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,1,0,9.3,80.15
sql mongodb llm dsa java oops dbms,java dsa oops dbms system design sql,5,0,5,8.4,84.2
rag prompt engineering llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,1,0,8.1,92.05
statistics pandas numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,0,1,7.1,49.91
power bi sql linux statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,3,4,7.1,92.84
express data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,1,3,7.7,96.35
data analysis statistics transformers machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,1,3,9.3,50.29
data visualization python tableau sql,python sql power bi excel tableau statistics data visualization,3,3,0,9.4,62.56
github actions react docker linux terraform jenkins pytorch,docker kubernetes linux jenkins terraform github actions,1,0,0,8.1,68.55
github actions kubernetes linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,5,8.4,79.2
azure cloud security linux aws terraform gcp oops,aws azure gcp cloud security terraform linux,4,1,0,9.6,90.8
react css express nodejs vector database dsa javascript html,react nodejs mongodb javascript html css express,1,2,0,9.3,76.94
python computer vision deep learning,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,5,7.3,59.29
azure cloud security aws linux terraform gcp,aws azure gcp cloud security terraform linux,5,2,3,8.9,99.95
numpy statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,2,2,8.2,79.39
system design sql oops java dsa dbms,java dsa oops dbms system design sql,2,0,2,6.9,85.45
github actions kubernetes,docker kubernetes linux jenkins terraform github actions,3,3,1,6.5,44.75
rag azure cloud security prompt engineering langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,4,0,4,9.6,83.09
python computer vision pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,4,7.8,54.04
react mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,4,1,3,7.5,83.54
sql tableau numpy excel html,python sql power bi excel tableau statistics data visualization,5,0,0,9.6,46.94
system design data analysis tableau numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,0,5,9.0,89.0
rag express prompt engineering llm langchain transformers java vector database python,python llm rag langchain transformers vector database prompt engineering,4,0,4,6.6,92.3
azure cloud security aws linux gcp terraform deep learning,aws azure gcp cloud security terraform linux,2,2,3,6.9,92.95
prompt engineering sql langchain vector database,python llm rag langchain transformers vector database prompt engineering,1,0,0,7.8,27.33
data analysis pandas numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,2,5,8.2,64.46
