skills,projects,internships,certifications,cgpa,target_role
java system design oops sql dsa dbms tensorflow,5,0,1,8.0,Software Engineer
gcp linux cloud security aws,4,1,2,8.8,Cloud Engineer
java dsa oops sql system design,4,1,0,9.0,Software Engineer
sql dsa oops java system design dbms,2,1,4,7.5,Software Engineer
transformers vector database rag llm prompt engineering python langchain,4,3,3,8.7,AI Engineer
numpy pandas statistics python tensorflow machine learning data analysis,4,1,1,7.9,Data Scientist
linux docker jenkins kubernetes,3,2,3,9.8,DevOps Engineer
django postgresql flask python fastapi,1,2,3,6.7,Python Developer
excel tableau sql data visualization power bi,3,3,0,8.4,Data Analyst
spring boot rest api mysql java hibernate,5,2,5,7.3,Java Developer
dbms system design sql oops java dsa,5,1,1,7.4,Software Engineer
system design dsa sql oops dbms java,3,0,0,8.4,Software Engineer
langchain llm vector database python,1,1,5,7.2,AI Engineer
python mlops tensorflow nlp pytorch,5,1,3,9.0,ML Engineer
javascript react css express nodejs html,1,2,1,7.2,Full Stack Developer
jenkins github actions kubernetes linux,5,1,4,7.4,DevOps Engineer
python pytorch mlops deep learning nlp,2,0,1,7.6,ML Engineer
tableau data visualization power bi sql excel statistics,2,2,2,7.6,Data Analyst
github actions kubernetes terraform linux jenkins,2,3,1,7.9,DevOps Engineer
sql dsa system design oops java dbms,4,1,0,8.3,Software Engineer
computer vision mlops nlp python,4,2,2,7.6,ML Engineer
statistics excel sql python power bi data visualization tableau,1,2,1,8.0,Data Analyst
spring boot mysql java hibernate,2,3,2,6.6,Java Developer
mongodb css html javascript react,5,3,3,7.2,Full Stack Developer
python sql tableau excel statistics,1,2,0,7.0,Data Analyst
deep learning python tensorflow pytorch,3,1,0,9.5,ML Engineer
azure cloud security linux terraform docker,2,3,0,9.7,Cloud Engineer
tensorflow python computer vision mlops deep learning nlp pytorch,4,3,5,8.4,ML Engineer
terraform aws azure linux,1,2,2,6.7,Cloud Engineer
transformers vector database langchain rag python prompt engineering,3,0,4,8.9,AI Engineer
express react mongodb nodejs javascript,1,2,0,8.5,Full Stack Developer
cloud security gcp linux terraform aws azure,3,2,3,8.6,Cloud Engineer
flask fastapi django python postgresql,3,0,3,9.5,Python Developer
tensorflow deep learning computer vision python nlp pytorch docker,2,3,5,7.0,ML Engineer
python mlops nlp tensorflow pytorch computer vision deep learning,1,3,5,6.9,ML Engineer
sql excel data visualization tableau,3,0,2,9.4,Data Analyst
data analysis statistics tensorflow python,1,3,1,7.3,Data Scientist
tensorflow nlp pytorch computer vision python,1,2,4,8.1,ML Engineer
nodejs express html javascript css react,3,3,1,8.8,Full Stack Developer
jenkins docker github actions linux terraform,2,3,3,9.1,DevOps Engineer
django postgresql fastapi flask python,1,0,2,9.2,Python Developer
terraform docker kubernetes linux,1,0,4,6.8,DevOps Engineer
rest api spring boot java hibernate mysql,3,0,4,6.5,Java Developer
dsa java sql system design dbms oops,3,0,5,7.4,Software Engineer
terraform gcp linux aws cloud security azure,3,0,3,9.7,Cloud Engineer
dsa system design oops sql,3,0,4,7.9,Software Engineer
postgresql fastapi flask django python,4,0,0,9.6,Python Developer
rag langchain prompt engineering llm tensorflow,4,2,3,6.8,AI Engineer
data visualization sql tableau excel statistics,5,1,2,7.3,Data Analyst
mongodb css html express javascript nodejs,3,3,1,9.2,Full Stack Developer
mongodb express css javascript html react nodejs,4,2,2,8.1,Full Stack Developer
system design dsa java sql oops pandas,2,0,5,7.9,Software Engineer
mlops tensorflow computer vision pytorch deep learning nlp python react,5,1,4,8.7,ML Engineer
python vector database prompt engineering transformers,5,2,4,6.8,AI Engineer
react html mongodb express javascript fastapi,2,0,4,7.2,Full Stack Developer
python prompt engineering rag vector database,1,3,0,7.7,AI Engineer
react mongodb css express html nodejs javascript azure,3,1,2,6.8,Full Stack Developer
langchain vector database rag python llm prompt engineering transformers,3,2,4,6.6,AI Engineer
data analysis pandas tensorflow numpy,4,0,1,9.6,Data Scientist
dbms dsa sql java system design oops,2,2,3,8.6,Software Engineer
fastapi postgresql python flask django,2,3,4,7.2,Python Developer
azure aws cloud security gcp linux,1,2,2,8.3,Cloud Engineer
python excel power bi tableau statistics data visualization,4,1,0,8.4,Data Analyst
statistics power bi data visualization python sql excel tableau,3,3,4,8.4,Data Analyst
azure terraform linux cloud security aws gcp,1,2,0,8.1,Cloud Engineer
aws azure cloud security terraform gcp,4,2,1,9.2,Cloud Engineer
tableau python power bi statistics sql excel data visualization,4,3,5,8.2,Data Analyst
java rest api spring boot mysql,1,1,2,9.5,Java Developer
rest api java hibernate mysql spring boot,1,2,5,8.5,Java Developer
hibernate spring boot java mysql rest api,4,3,2,8.7,Java Developer
aws terraform gcp cloud security azure,1,0,5,8.4,Cloud Engineer
django python postgresql fastapi flask,4,1,1,6.8,Python Developer
react express css mongodb vector database,4,0,2,9.2,Full Stack Developer
data visualization power bi excel statistics sql tableau,1,3,1,8.0,Data Analyst
transformers python rag vector database,2,1,0,9.0,AI Engineer
python numpy data analysis machine learning,3,0,2,8.8,Data Scientist
django fastapi postgresql flask,5,0,2,6.6,Python Developer
nodejs javascript html css,2,3,4,7.8,Full Stack Developer
terraform cloud security azure gcp linux aws,2,3,1,9.6,Cloud Engineer
docker jenkins linux github actions,1,0,2,9.7,DevOps Engineer
python postgresql django fastapi flask,3,2,5,8.3,Python Developer
prompt engineering transformers llm rag python,5,1,3,7.3,AI Engineer
system design java sql dbms oops,3,1,5,8.4,Software Engineer
python tensorflow numpy pandas data analysis statistics machine learning,4,0,0,8.6,Data Scientist
gcp azure cloud security terraform vector database,4,2,5,9.4,Cloud Engineer
deep learning python tensorflow nlp pytorch,1,3,0,7.0,ML Engineer
dsa java system design oops,5,3,1,8.6,Software Engineer
system design sql dsa dbms oops java,4,1,1,8.6,Software Engineer
aws terraform cloud security linux gcp azure,3,0,4,7.3,Cloud Engineer
css express mongodb nodejs html javascript react,3,0,4,6.9,Full Stack Developer
react nodejs express javascript css html mongodb,5,2,3,7.7,Full Stack Developer
python fastapi flask django,1,2,3,7.1,Python Developer
cloud security aws azure terraform linux,5,3,5,9.1,Cloud Engineer
tableau excel sql data visualization statistics power bi,4,2,4,8.3,Data Analyst
deep learning pytorch python nlp computer vision docker,4,0,1,9.3,ML Engineer
statistics machine learning numpy python data analysis tensorflow pandas,5,0,0,7.2,Data Scientist
django fastapi postgresql flask python rag,1,1,0,8.1,Python Developer
tensorflow pandas data analysis statistics numpy,1,0,5,9.6,Data Scientist
hibernate rest api mysql java,3,3,3,6.7,Java Developer
docker jenkins linux terraform,4,2,0,9.7,DevOps Engineer
express nodejs javascript css react html mongodb pytorch,3,2,2,7.4,Full Stack Developer
system design dsa dbms oops statistics,4,1,0,9.7,Software Engineer
hibernate java mysql spring boot rest api,1,2,2,8.0,Java Developer
java mysql hibernate rest api,2,0,2,8.8,Java Developer
cloud security terraform gcp linux azure system design,2,0,0,8.1,Cloud Engineer
linux terraform cloud security aws,2,2,4,7.3,Cloud Engineer
aws cloud security azure gcp terraform,5,0,3,9.4,Cloud Engineer
dsa oops java dbms sql system design,2,2,1,6.6,Software Engineer
gcp terraform cloud security aws azure linux,3,0,5,7.3,Cloud Engineer
java mysql hibernate spring boot,4,0,1,6.9,Java Developer
pandas python statistics numpy tensorflow,1,1,0,9.4,Data Scientist
flask django postgresql fastapi,5,2,5,9.5,Python Developer
numpy pandas statistics tensorflow python data analysis,4,3,3,8.6,Data Scientist
terraform docker jenkins kubernetes linux,2,2,3,7.8,DevOps Engineer
flask postgresql python django fastapi,2,0,5,9.6,Python Developer
jenkins docker github actions kubernetes linux,5,1,2,8.6,DevOps Engineer
excel sql python tableau statistics data visualization power bi,1,3,4,9.2,Data Analyst
statistics power bi excel data visualization tableau python sql,5,3,3,7.8,Data Analyst
gcp azure cloud security linux aws terraform,3,1,5,9.1,Cloud Engineer
tableau power bi python statistics excel sql data visualization transformers,5,2,1,9.7,Data Analyst
python langchain prompt engineering rag transformers,3,2,0,7.6,AI Engineer
spring boot rest api hibernate java,3,2,2,8.9,Java Developer
data analysis pandas statistics machine learning tensorflow,4,1,1,8.7,Data Scientist
fastapi flask django python,1,3,3,8.2,Python Developer
javascript css nodejs html,1,1,1,7.6,Full Stack Developer
system design dbms java dsa oops,4,1,3,6.6,Software Engineer
rag langchain prompt engineering vector database transformers,3,0,4,8.6,AI Engineer
tensorflow pandas data analysis machine learning python,2,3,4,9.3,Data Scientist
dsa system design java sql oops dbms,3,1,0,7.8,Software Engineer
oops sql dsa dbms,5,3,0,7.8,Software Engineer
kubernetes linux terraform docker,4,2,5,8.7,DevOps Engineer
statistics tableau data visualization sql excel,5,0,2,6.7,Data Analyst
dsa sql dbms oops system design,1,3,1,8.1,Software Engineer
azure cloud security aws gcp linux,5,0,3,7.9,Cloud Engineer
mlops nlp tensorflow deep learning,5,3,5,9.7,ML Engineer
python data analysis pandas tensorflow,5,0,5,9.7,Data Scientist
html css react express,2,1,1,7.6,Full Stack Developer
gcp linux aws terraform azure vector database,1,2,2,7.9,Cloud Engineer
hibernate spring boot mysql rest api java,5,1,3,7.8,Java Developer
nlp python computer vision deep learning pytorch,2,2,5,9.3,ML Engineer
tableau python excel statistics data visualization sql,5,2,2,8.4,Data Analyst
docker terraform jenkins github actions,3,2,3,8.5,DevOps Engineer
deep learning python computer vision nlp pytorch mlops rest api,2,1,4,9.5,ML Engineer
statistics numpy python machine learning pandas data analysis tensorflow,1,1,1,7.7,Data Scientist
python prompt engineering langchain llm rag,1,1,0,8.4,AI Engineer
vector database transformers langchain prompt engineering rag data visualization,3,0,4,7.7,AI Engineer
linux terraform kubernetes jenkins docker,2,2,3,7.9,DevOps Engineer
spring boot rest api mysql hibernate,3,0,2,8.9,Java Developer
computer vision tensorflow python pytorch,5,0,0,8.2,ML Engineer
pandas python numpy data analysis statistics machine learning,5,1,2,7.6,Data Scientist
kubernetes jenkins terraform github actions,2,3,5,8.7,DevOps Engineer
data analysis python tensorflow statistics,4,3,4,8.1,Data Scientist
fastapi django postgresql python flask,5,3,4,8.0,Python Developer
cloud security aws terraform azure jenkins,1,0,4,6.7,Cloud Engineer
excel tableau data visualization sql,1,3,2,8.6,Data Analyst
gcp cloud security aws azure,5,3,2,6.5,Cloud Engineer
langchain python llm vector database rag prompt engineering transformers javascript,4,2,1,9.0,AI Engineer
java hibernate mysql rest api,2,3,3,9.3,Java Developer
tableau statistics data visualization sql,5,1,3,9.7,Data Analyst
mlops nlp deep learning python,1,1,1,7.6,ML Engineer
computer vision python tensorflow mlops pytorch deep learning mysql,1,2,5,6.5,ML Engineer
sql java system design dbms dsa oops,2,2,1,7.3,Software Engineer
java system design dbms oops sql dsa,5,2,0,9.0,Software Engineer
deep learning tensorflow pytorch mlops nlp python,5,1,2,7.2,ML Engineer
langchain llm transformers rag vector database python,1,1,3,7.7,AI Engineer
linux github actions jenkins kubernetes,4,2,5,7.6,DevOps Engineer
spring boot hibernate rest api java,5,2,2,6.9,Java Developer
terraform github actions docker kubernetes jenkins,5,3,1,7.6,DevOps Engineer
dbms dsa oops system design java sql,4,1,0,9.2,Software Engineer
sql statistics data visualization excel power bi tableau,3,0,1,9.1,Data Analyst
postgresql fastapi python django flask,2,0,4,9.1,Python Developer
postgresql django python flask,1,0,1,8.0,Python Developer
nlp tensorflow deep learning computer vision pytorch python mlops,4,3,1,6.9,ML Engineer
machine learning pandas data analysis tensorflow numpy,2,2,3,6.8,Data Scientist
data visualization excel python power bi statistics tableau sql,2,3,0,7.5,Data Analyst
machine learning numpy data analysis tensorflow pandas,4,3,3,9.3,Data Scientist
django python postgresql flask,3,2,1,7.5,Python Developer
nlp deep learning tensorflow computer vision,2,2,0,7.3,ML Engineer
pandas tensorflow data analysis machine learning,4,0,0,8.5,Data Scientist
sql statistics tableau power bi python excel,4,2,1,9.4,Data Analyst
deep learning mlops tensorflow pytorch python nlp computer vision,4,0,1,8.3,ML Engineer
tensorflow pandas data analysis statistics machine learning numpy,3,2,5,7.6,Data Scientist
system design java dbms sql oops,3,1,4,8.6,Software Engineer
spring boot java mysql hibernate,4,0,3,7.3,Java Developer
mongodb react html css nodejs,4,1,2,6.7,Full Stack Developer
linux cloud security terraform gcp azure aws,1,3,0,8.0,Cloud Engineer
dbms sql java system design oops,2,3,4,8.9,Software Engineer
javascript mongodb express html react nodejs,3,3,0,8.7,Full Stack Developer
docker jenkins linux kubernetes,3,0,4,7.9,DevOps Engineer
gcp cloud security linux azure aws terraform,3,2,0,7.2,Cloud Engineer
vector database prompt engineering langchain rag llm python transformers,3,0,1,9.5,AI Engineer
django postgresql fastapi flask,3,1,5,9.5,Python Developer
numpy data analysis pandas tensorflow statistics machine learning python,2,2,1,7.2,Data Scientist
prompt engineering transformers vector database python rag,2,3,2,8.0,AI Engineer
html nodejs express css mongodb,1,3,1,6.8,Full Stack Developer
python mlops computer vision deep learning nlp,4,3,2,7.3,ML Engineer
tensorflow computer vision python deep learning nlp postgresql,2,1,1,7.4,ML Engineer
linux aws gcp terraform,2,3,2,9.2,Cloud Engineer
llm vector database python prompt engineering langchain,4,1,0,9.1,AI Engineer
java hibernate spring boot rest api,1,2,2,7.7,Java Developer
mysql hibernate spring boot java rest api,3,0,2,9.7,Java Developer
statistics python tensorflow data analysis pandas,2,3,4,7.8,Data Scientist
hibernate mysql spring boot java rest api,1,2,2,9.3,Java Developer
flask postgresql fastapi django python,4,2,2,8.0,Python Developer
django flask python fastapi github actions,4,0,2,7.9,Python Developer
excel power bi sql data visualization python,3,0,1,9.2,Data Analyst
power bi data visualization python statistics,3,1,4,8.4,Data Analyst
excel python statistics power bi sql oops,2,2,3,8.8,Data Analyst
tensorflow nlp pytorch computer vision python mlops deep learning,5,3,4,8.1,ML Engineer
oops sql java system design dsa dbms,2,3,1,9.6,Software Engineer
express mongodb javascript css react html nodejs,5,1,3,8.0,Full Stack Developer
power bi statistics excel tableau,5,2,4,9.1,Data Analyst
kubernetes jenkins terraform linux github actions,1,1,5,8.9,DevOps Engineer
jenkins terraform linux kubernetes github actions docker,4,2,4,8.3,DevOps Engineer
terraform gcp linux cloud security aws,2,3,5,9.7,Cloud Engineer
terraform azure linux gcp cloud security aws fastapi,5,3,3,7.2,Cloud Engineer
css react mongodb express html nodejs,2,2,4,7.3,Full Stack Developer
mysql java spring boot hibernate,3,3,1,9.1,Java Developer
numpy pandas machine learning tensorflow python statistics data analysis,5,0,4,9.7,Data Scientist
terraform docker linux kubernetes,4,0,4,6.5,DevOps Engineer
gcp cloud security linux azure terraform,4,2,5,9.6,Cloud Engineer
hibernate java spring boot rest api,3,2,4,6.9,Java Developer
spring boot hibernate mysql java rest api,3,2,0,7.3,Java Developer
django flask fastapi postgresql deep learning,2,2,1,7.7,Python Developer
fastapi django python flask postgresql,1,2,1,8.3,Python Developer
linux docker kubernetes terraform github actions,5,2,3,7.3,DevOps Engineer
llm rag prompt engineering transformers langchain python vector database,3,1,1,8.4,AI Engineer
machine learning data analysis pandas numpy tensorflow,5,3,1,8.8,Data Scientist
power bi tableau statistics excel data visualization python,5,3,2,6.7,Data Analyst
power bi python statistics data visualization sql tableau,5,3,5,8.6,Data Analyst
css javascript react mongodb express,3,3,4,9.3,Full Stack Developer
deep learning python tensorflow computer vision mlops,1,1,4,8.6,ML Engineer
linux gcp terraform azure,3,2,0,9.6,Cloud Engineer
python data visualization excel sql power bi,1,3,5,9.0,Data Analyst
transformers llm vector database langchain,1,1,3,8.3,AI Engineer
pandas numpy python tensorflow machine learning statistics data analysis,1,0,5,7.3,Data Scientist
python vector database llm rag transformers prompt engineering langchain,1,2,5,6.8,AI Engineer
langchain rag llm transformers,5,0,5,7.9,AI Engineer
power bi python statistics data visualization sql excel,1,2,1,7.1,Data Analyst
oops system design java sql dbms dsa,1,1,5,7.4,Software Engineer
java hibernate spring boot mysql,5,3,5,7.2,Java Developer
machine learning python numpy data analysis tensorflow pandas statistics,4,2,0,8.3,Data Scientist
data visualization tableau sql excel,2,3,1,7.4,Data Analyst
linux kubernetes terraform docker,5,2,0,7.3,DevOps Engineer
power bi excel statistics tableau data visualization sql,5,3,2,7.3,Data Analyst
tensorflow python numpy machine learning pandas statistics data analysis,4,1,4,8.7,Data Scientist
java spring boot mysql hibernate postgresql,5,1,4,8.2,Java Developer
numpy statistics data analysis tensorflow machine learning,5,3,2,7.7,Data Scientist
python numpy machine learning data analysis,2,2,1,8.8,Data Scientist
docker github actions terraform jenkins linux kubernetes data analysis,1,1,3,6.8,DevOps Engineer
rest api java mysql hibernate,1,3,5,7.5,Java Developer
llm rag vector database prompt engineering transformers,5,1,2,8.4,AI Engineer
react express javascript css,2,3,3,8.2,Full Stack Developer
html react mongodb css javascript nodejs azure,4,1,3,7.6,Full Stack Developer
terraform kubernetes jenkins github actions,4,3,4,7.1,DevOps Engineer
mlops python deep learning computer vision tensorflow nlp,4,3,0,7.9,ML Engineer
tensorflow statistics python data analysis,3,0,1,8.6,Data Scientist
rag langchain vector database llm prompt engineering python transformers,4,1,3,8.2,AI Engineer
html nodejs mongodb express css,5,0,4,8.2,Full Stack Developer
tensorflow computer vision nlp python,1,2,2,7.3,ML Engineer
terraform linux aws gcp azure computer vision,1,3,2,7.1,Cloud Engineer
prompt engineering langchain rag vector database python transformers llm,2,2,0,7.6,AI Engineer
fastapi python postgresql flask spring boot,3,2,1,6.6,Python Developer
spring boot mysql java rest api hibernate,4,2,1,7.5,Java Developer
fastapi postgresql python django,3,1,3,7.5,Python Developer
python power bi tableau excel sql statistics flask,4,3,1,7.5,Data Analyst
postgresql python fastapi django flask,4,1,1,8.2,Python Developer
excel sql python tableau power bi statistics data visualization,3,0,1,7.3,Data Analyst
python rag vector database prompt engineering transformers langchain,4,2,0,9.1,AI Engineer
pandas statistics machine learning data analysis,5,3,4,6.7,Data Scientist
java spring boot rest api mysql hibernate,1,2,4,9.6,Java Developer
python data analysis machine learning numpy react,3,1,0,6.7,Data Scientist
rest api hibernate java mysql,1,0,3,7.6,Java Developer
hibernate java rest api mysql spring boot,4,0,5,8.4,Java Developer
dsa java dbms sql system design,3,1,2,7.2,Software Engineer
html express nodejs javascript css mongodb,2,1,2,9.6,Full Stack Developer
sql python statistics excel tableau,1,0,5,7.1,Data Analyst
tableau data visualization excel statistics power bi,2,1,1,7.7,Data Analyst
statistics data visualization excel python,4,1,4,9.1,Data Analyst
tensorflow data analysis python pandas,5,3,0,7.4,Data Scientist
excel python sql power bi data visualization,3,2,4,7.0,Data Analyst
computer vision nlp tensorflow python pytorch,1,3,1,8.8,ML Engineer
sql data visualization statistics python tableau excel,1,1,1,9.0,Data Analyst
terraform jenkins kubernetes github actions,5,1,2,8.1,DevOps Engineer
nodejs css html javascript,4,0,4,8.9,Full Stack Developer
python tableau power bi statistics excel data visualization sql azure,5,3,0,6.7,Data Analyst
python power bi sql statistics,4,0,2,8.5,Data Analyst
dsa dbms java oops system design,5,2,5,9.2,Software Engineer
vector database langchain prompt engineering llm transformers python,4,2,3,7.4,AI Engineer
power bi statistics tableau excel,5,1,2,9.2,Data Analyst
power bi statistics sql excel tableau,2,1,0,7.2,Data Analyst
aws cloud security linux gcp,5,1,4,6.6,Cloud Engineer
css nodejs javascript express html mongodb react,4,3,1,7.7,Full Stack Developer
tensorflow computer vision python pytorch,4,1,0,9.2,ML Engineer
docker github actions terraform kubernetes,5,1,3,7.0,DevOps Engineer
oops sql dsa system design,2,3,1,6.8,Software Engineer
data visualization tableau excel statistics power bi prompt engineering,3,2,5,9.3,Data Analyst
tensorflow machine learning python pandas numpy,4,1,4,9.7,Data Scientist
mlops nlp pytorch deep learning,4,0,1,8.1,ML Engineer
react javascript mongodb nodejs express html css,4,3,5,8.0,Full Stack Developer
sql java dbms oops system design,2,2,2,9.7,Software Engineer
fastapi python flask django,2,1,4,8.6,Python Developer
statistics power bi excel data visualization tableau sql,4,0,0,9.4,Data Analyst
gcp cloud security azure aws linux terraform,1,0,3,9.1,Cloud Engineer
prompt engineering transformers langchain rag llm,5,3,2,9.1,AI Engineer
flask postgresql django fastapi,5,2,1,8.9,Python Developer
power bi python sql excel,4,2,3,8.9,Data Analyst
deep learning computer vision python mlops nlp tensorflow pytorch,1,0,3,8.6,ML Engineer
excel python tableau data visualization power bi sql dbms,1,1,0,6.8,Data Analyst
github actions kubernetes docker jenkins linux terraform,4,1,4,9.1,DevOps Engineer
python django postgresql flask fastapi,2,2,3,6.7,Python Developer
dbms system design dsa oops sql,3,1,3,6.5,Software Engineer
github actions jenkins linux kubernetes docker terraform,2,0,4,7.1,DevOps Engineer
terraform jenkins kubernetes linux docker django,5,0,2,9.7,DevOps Engineer
docker kubernetes github actions jenkins,3,1,0,8.4,DevOps Engineer
vector database prompt engineering llm rag langchain transformers python,5,2,0,8.2,AI Engineer
oops system design sql dbms dsa,4,2,2,8.0,Software Engineer
python machine learning data analysis statistics pandas tensorflow numpy,1,2,0,8.4,Data Scientist
tensorflow statistics python numpy pandas,4,3,4,7.8,Data Scientist
express javascript mongodb nodejs react,4,2,0,8.0,Full Stack Developer
data analysis python pandas numpy statistics,5,2,4,8.1,Data Scientist
java rest api hibernate mysql spring boot,5,2,4,7.9,Java Developer
statistics power bi data visualization sql tableau python,4,0,4,7.9,Data Analyst
linux jenkins docker kubernetes,3,0,3,7.6,DevOps Engineer
transformers llm prompt engineering vector database,5,2,4,8.8,AI Engineer
pandas machine learning numpy data analysis tensorflow,4,1,2,9.5,Data Scientist
react express nodejs html css javascript mongodb,3,1,3,9.2,Full Stack Developer
aws azure cloud security linux gcp terraform,2,1,5,7.6,Cloud Engineer
python sql statistics excel,5,0,0,9.1,Data Analyst
tableau statistics excel power bi,1,1,1,8.7,Data Analyst
mongodb react javascript html nodejs azure,3,2,1,9.1,Full Stack Developer
terraform jenkins github actions linux docker,4,3,2,9.2,DevOps Engineer
nlp pytorch mlops computer vision python,5,3,3,9.5,ML Engineer
langchain vector database prompt engineering python rag llm transformers,5,0,1,9.1,AI Engineer
terraform cloud security gcp linux aws,1,2,5,9.7,Cloud Engineer
nodejs mongodb express javascript react html,5,1,1,6.8,Full Stack Developer
sql power bi data visualization tableau excel statistics python,3,3,4,7.1,Data Analyst
python postgresql django flask,2,0,1,7.6,Python Developer
spring boot mysql rest api hibernate,1,3,3,9.6,Java Developer
rest api java hibernate spring boot mysql vector database,3,1,4,7.5,Java Developer
flask python django fastapi,4,3,5,9.5,Python Developer
sql data visualization excel tableau power bi statistics,5,2,3,8.2,Data Analyst
postgresql python flask fastapi django,1,0,2,7.1,Python Developer
llm rag langchain prompt engineering python vector database transformers,5,2,0,8.5,AI Engineer
terraform azure linux cloud security gcp aws,5,3,0,8.9,Cloud Engineer
spring boot hibernate mysql java rest api,1,3,1,8.2,Java Developer
transformers rag prompt engineering llm langchain,5,0,2,8.6,AI Engineer
aws terraform cloud security linux azure gcp,2,0,2,9.8,Cloud Engineer
fastapi python postgresql django,1,3,4,8.6,Python Developer
nodejs mongodb javascript html react express css,2,3,4,7.1,Full Stack Developer
javascript mongodb react nodejs css express html,2,3,2,7.9,Full Stack Developer
python deep learning pytorch mlops,1,1,4,9.8,ML Engineer
github actions linux docker jenkins kubernetes power bi,2,0,1,7.8,DevOps Engineer
django postgresql fastapi python flask,4,0,3,9.1,Python Developer
flask python fastapi django postgresql,1,0,2,7.0,Python Developer
python tableau power bi sql data visualization prompt engineering,3,2,2,6.7,Data Analyst
python langchain vector database prompt engineering rag llm,1,0,1,9.8,AI Engineer
fastapi postgresql flask python,3,2,2,9.4,Python Developer
sql dsa system design dbms,1,1,5,9.3,Software Engineer
sql power bi tableau excel,5,1,3,9.3,Data Analyst
sql dbms oops java system design,3,3,4,8.1,Software Engineer
flask fastapi python django postgresql,3,1,5,9.6,Python Developer
tensorflow statistics python data analysis pandas,1,3,3,7.4,Data Scientist
power bi tableau python data visualization excel statistics computer vision,5,3,0,8.1,Data Analyst
spring boot mysql java rest api,3,3,0,7.0,Java Developer
data analysis tensorflow statistics machine learning numpy python pandas,2,0,4,7.1,Data Scientist
react javascript nodejs html,5,1,2,6.5,Full Stack Developer
spring boot rest api hibernate mysql,2,3,2,9.0,Java Developer
linux aws azure cloud security terraform gcp,1,0,1,8.2,Cloud Engineer
css react html mongodb javascript,5,0,0,9.5,Full Stack Developer
terraform kubernetes github actions docker,3,2,4,8.0,DevOps Engineer
django flask postgresql fastapi python express,3,2,5,7.3,Python Developer
python data visualization sql tableau power bi excel statistics,5,1,3,7.4,Data Analyst
deep learning pytorch computer vision mlops nlp,3,3,3,9.8,ML Engineer
vector database llm rag transformers prompt engineering langchain python,3,0,1,8.2,AI Engineer
python data analysis tensorflow machine learning statistics,1,0,0,9.4,Data Scientist
oops system design dbms dsa sql java,5,1,4,8.5,Software Engineer
pandas python data analysis statistics machine learning numpy tensorflow,2,2,3,7.9,Data Scientist
java dbms sql dsa oops,5,1,5,9.3,Software Engineer
java system design oops dsa,4,3,4,7.0,Software Engineer
terraform github actions kubernetes linux docker,2,2,4,6.6,DevOps Engineer
python fastapi django flask,1,2,3,6.8,Python Developer
pytorch tensorflow deep learning nlp rest api,3,3,0,9.8,ML Engineer
flask fastapi postgresql django gcp,1,2,0,9.8,Python Developer
kubernetes github actions jenkins terraform,2,2,4,7.9,DevOps Engineer
java spring boot rest api hibernate,2,1,4,8.5,Java Developer
dsa sql java dbms oops system design,4,0,0,6.6,Software Engineer
python computer vision pytorch mlops nlp javascript,3,3,5,8.7,ML Engineer
vector database transformers python prompt engineering,2,0,1,9.2,AI Engineer
linux aws terraform gcp azure cloud security,1,0,4,6.8,Cloud Engineer
dsa java system design dbms oops,4,3,3,7.4,Software Engineer
vector database prompt engineering rag transformers langchain llm python,2,0,3,6.6,AI Engineer
computer vision pytorch tensorflow python nlp mlops deep learning,3,3,5,9.5,ML Engineer
django flask python postgresql fastapi,1,3,2,9.5,Python Developer
vector database rag transformers llm langchain python,4,1,5,8.4,AI Engineer
flask fastapi python postgresql,4,0,4,6.6,Python Developer
django fastapi flask postgresql python,2,3,0,8.2,Python Developer
hibernate spring boot java mysql,5,2,0,6.8,Java Developer
spring boot mysql hibernate rest api gcp,5,2,2,7.5,Java Developer
statistics machine learning tensorflow numpy pandas,5,1,2,7.3,Data Scientist
python langchain prompt engineering vector database,1,2,5,8.4,AI Engineer
javascript html css express nodejs react mongodb,2,3,4,6.7,Full Stack Developer
tensorflow numpy statistics machine learning python,3,1,3,9.6,Data Scientist
java sql dbms oops dsa system design,2,2,0,7.4,Software Engineer
langchain python llm transformers rag,3,0,4,9.5,AI Engineer
langchain transformers prompt engineering python rag llm vector database java,5,2,4,6.8,AI Engineer
spring boot rest api hibernate java mysql,1,0,1,9.8,Java Developer
system design sql dbms oops dsa java,3,0,0,8.4,Software Engineer
javascript nodejs react html css express mongodb,1,2,0,7.4,Full Stack Developer
javascript mongodb react html express nodejs,5,3,3,7.4,Full Stack Developer
nodejs css mongodb react express javascript,1,1,1,7.9,Full Stack Developer
react nodejs css mongodb html javascript express,5,3,2,8.7,Full Stack Developer
jenkins docker kubernetes terraform github actions,1,3,2,9.5,DevOps Engineer
flask django fastapi postgresql python,1,3,5,7.8,Python Developer
terraform jenkins kubernetes linux github actions docker,4,1,0,6.7,DevOps Engineer
docker jenkins github actions terraform linux,5,3,5,7.1,DevOps Engineer
fastapi python flask postgresql,3,1,3,8.6,Python Developer
dsa oops dbms sql,2,1,2,7.6,Software Engineer
statistics sql excel tableau pytorch,4,2,3,7.7,Data Analyst
rest api hibernate mysql java,5,0,4,8.1,Java Developer
dsa oops system design java,1,3,5,7.7,Software Engineer
python fastapi flask postgresql django,2,1,2,8.0,Python Developer
transformers langchain rag python llm computer vision,4,3,0,6.7,AI Engineer
express css mongodb javascript nodejs,1,0,3,6.9,Full Stack Developer
